Device:
    Device: SA40060.20190715
    Instrument: PPMS2
    Computer: LLABWORKSTATION
    User: Aaron Greenberg
    Description: SA40060I	Thermal Decay 300-275-300

Wiring:
    Electrode 1: Lockin 1, I+, KH 1: Differential, 10x, 50k Ohms
    Electrode 2: Lockin 2, V1+, KH 2: SE+ (-gnd), 10x, Open
    Electrode 3: Lockin 3, V1-, KH 3: SE+ (-gnd), 10x, Open
    Electrode 4: Lockin 4, I-, KH 4: Differential, 10x, 50k Ohms
    Electrode 27: Lockin 5, , KH 5: Ground, 10x, Open
    Electrode 28: Lockin 6, , KH 6: Ground, 10x, Open
    Electrode 28: Lockin 8, , KH 8: Ground, 10x, Open
    Electrode 27: Vbg
    Electrode 27: 
	
Experiment: 
    Thermal Decay

Lockin: 
    AO 1: amp = 5.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 2: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 3: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 4: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 5: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 6: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 7: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 8: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
	
    Lockin 1: f = 13.00 Hz, phi = 0.00° 
    Lockin 2: f = 26.00 Hz, phi = 0.00° 
	
    TC = 100.00 ms, order = 2

    Fs = 6500.00 S/s, N = 500 S
				
time (s)	Temperature (mK)	Bfield (T)	X1	Y1	R2T	X2	Y2	R4T
3.646060280083326E+9	299.406999999999980E+0	-1.479864772409201E-6	-404.843832138890350E-12	-1.835889983256573E-9	111.253101230645160E-6	-668.777748231340560E-6	41.841330562735890E-6	-68.647139857531774E-6	21.540759129575206E-12	1.809192552482748E-12	-83.169841803695461E-9	-180.933248654166900E-9	326.337093598784250E-9	-173.368704432764280E-9	6.808738896490213E-12	26.133734000095454E-12	37.483546941822419E-6	-7.830740004677012E-6	32.182516977713207E-6	-9.437912403003813E-6	-1.706996967820458E-12	628.175779316703150E-15	-338.141264419053260E-9	210.375753952344460E-9	2.393038617237529E-6	-549.969921830666870E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	232.118096206510190E+6	3.222345612351597E+6
3.646060282524201E+9	299.465199999999980E+0	-1.479864772409201E-6	-389.894765535596310E-12	-1.719265660794755E-9	428.744337193083890E-6	-605.687972335853910E-6	335.958076183704930E-6	-46.765937171504257E-6	24.615802127292312E-12	6.872521562462955E-12	341.706636172315490E-9	-1.044644119497618E-6	421.298307987301490E-9	-218.536566600696580E-9	2.472321594318221E-12	126.732876246471460E-12	180.209859928599460E-6	34.463339011887863E-6	162.031023602338270E-6	19.907653743163723E-6	-2.016782112862928E-12	9.087031711056513E-12	803.173653967489950E-9	-475.112315473992600E-9	-429.301060973845680E-9	-438.324201665028980E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	203.121554769744570E+6	3.769377919499277E+6
3.646060284289739E+9	299.517400000000010E+0	-1.479864772409201E-6	-360.267955807367490E-12	-1.829261774411632E-9	187.770189880578460E-6	-757.675157176995350E-6	110.603599919631360E-6	-159.449874817423830E-6	25.401033140059057E-12	-1.572840781591194E-12	-177.380051104115560E-9	11.983909200609223E-9	-862.271339832513420E-9	-641.988723722701450E-9	31.974866643174419E-12	-38.064728744444416E-12	-33.780785564870869E-6	-64.405423358810890E-6	-33.969432549853208E-6	-55.709764730173607E-6	3.062764998956987E-12	-1.304405507040406E-12	-342.458953733176130E-9	-12.474681699381641E-9	475.524809861042070E-9	1.492114424289551E-6	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	196.842387174979900E+6	3.037931155613133E+6
3.646060286600156E+9	299.590700000000030E+0	-1.479864772409201E-6	-410.025163306936540E-12	-1.843175957855958E-9	77.719264619023883E-6	-677.651479041055230E-6	13.404833350531759E-6	-73.997544070940024E-6	23.814978360105620E-12	-1.143763476047808E-12	-26.738301789987387E-9	-210.545423026132220E-9	870.765712755417460E-9	1.448627573697439E-6	8.551872624647526E-12	-3.595816981277615E-12	7.677589503585635E-6	-11.401762250200139E-6	6.473958366377590E-6	-11.511025202804555E-6	-151.228706450744290E-15	-164.571292155737720E-15	119.277478116070120E-9	74.596590546880467E-9	-532.443892608575660E-9	-146.672208439658000E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	209.951901882720200E+6	2.700587432665083E+6
3.646060288830376E+9	299.644700000000000E+0	-1.479864772409201E-6	-500.269741105521980E-12	-1.864823789480956E-9	-77.112425994675099E-6	-454.565253125297720E-6	-94.896544389636811E-6	148.510838722533940E-6	15.211669695944391E-12	-1.432126627586308E-12	-591.327928129041490E-9	-380.555806364142370E-9	-1.540096108123725E-6	-759.768857794913020E-9	74.347336453077085E-12	-60.119698530112061E-12	-56.034388555944343E-6	-123.499983070485720E-6	-57.443988531443665E-6	-106.096710387959700E-6	5.188082025079285E-12	-852.800511633583590E-15	396.836632705955330E-9	-66.112034189850677E-9	-159.839053370436350E-9	295.095992698756190E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	328.695015073398470E+6	1.169110212779809E+6
3.646060290868973E+9	299.721499999999990E+0	-1.479864772409201E-6	-459.667782576242550E-12	-1.756443378463782E-9	269.629660232623420E-6	-443.617304099187880E-6	212.604909648812490E-6	114.385600993288090E-6	20.471971191974938E-12	5.526257484302689E-12	5.289451799027665E-9	183.484186423369770E-9	-664.578246595637830E-9	134.367908010517170E-9	-99.927358793035602E-12	14.178130386977800E-12	-9.266600533291392E-6	150.040455786472330E-6	749.410503142410870E-9	133.418294179485050E-6	-5.920708907866608E-12	2.563586960672801E-12	-252.548029648342860E-9	-499.695827321964280E-9	-615.659926396135380E-9	38.874090521192955E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	244.236373386457890E+6	2.785503655171455E+6
3.646060293335607E+9	299.788299999999990E+0	-1.479864772409201E-6	-408.853808696114120E-12	-1.838630724216703E-9	96.474230189525574E-6	-651.102807320594140E-6	33.286087321122344E-6	-50.310356678718249E-6	24.765939012817070E-12	-677.687480718635280E-15	643.085602557895930E-9	-26.874811231498035E-9	-290.162989320182100E-9	-775.809038205691060E-9	1.195199899267995E-12	-11.942205390615319E-12	-18.602752631770294E-6	-9.096626925136795E-6	-17.892205134342836E-6	-7.863430829938984E-6	35.573839593199334E-15	-2.793204513774389E-12	97.367351150006931E-9	-7.356173426918941E-9	1.073713183295990E-6	503.503335643115330E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	201.890184636744830E+6	2.551413166110988E+6
3.646060295228438E+9	299.860400000000030E+0	-1.479864772409201E-6	-416.881710587555880E-12	-1.819912633741322E-9	144.023332915277550E-6	-624.836897847370810E-6	76.217044819843223E-6	-33.896627610878742E-6	22.510237785856549E-12	-905.323183774496500E-15	-14.642705512167375E-9	863.438956628096350E-9	-3.656909788248408E-6	800.518757314931890E-9	-33.312336185528569E-12	14.296915761157629E-12	15.789556107616066E-6	50.733352934462367E-6	16.753269804359817E-6	43.577986807980517E-6	-109.108657918435110E-15	-486.054905570593340E-15	-158.848462378860740E-9	506.912401073297310E-9	-694.445205593759670E-9	-1.748112297813022E-6	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	222.121154275036570E+6	3.012242195772709E+6
3.646060297506258E+9	299.916000000000000E+0	-1.479864772409201E-6	-407.451286846954210E-12	-1.837565460066639E-9	98.798991903253894E-6	-649.599358512770410E-6	33.293230279238008E-6	-55.449668237377315E-6	23.468923678181234E-12	1.274326016840238E-12	-168.689225702269600E-9	177.627519121211350E-9	-23.349848003523305E-9	33.781773643030172E-9	-9.727931589670310E-12	9.287983959426488E-12	9.779172208164928E-6	16.528318877839564E-6	9.934927774636888E-6	14.875507812341330E-6	24.180445346869224E-15	1.890926831959666E-12	-750.391788696677730E-9	67.726506023145654E-9	-241.177297657721380E-9	-414.478473895896490E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	213.047691004612950E+6	2.791170252299034E+6
3.646060299566276E+9	300.004700000000010E+0	-1.479864772409201E-6	-371.938396126661140E-12	-1.855710221127786E-9	54.730742326597238E-6	-752.632670163316590E-6	-17.169442582296750E-6	-136.505666368877300E-6	26.495827356945650E-12	-839.145925942681040E-15	-393.499815390138070E-9	-883.457800422316770E-9	488.900040277155990E-9	-243.721573127084380E-9	-25.645543584968506E-12	-29.590569470900963E-12	-50.031650213074527E-6	31.803369871150330E-6	-41.680961324696693E-6	31.873103327189549E-6	-966.552028330947190E-15	-257.094035304730590E-15	690.895215351641310E-9	-48.327138637810195E-9	-1.152473293280445E-6	-1.064866193676144E-6	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	188.708959061408340E+6	2.713641810096033E+6
