Device:
    Device: SA40060G.20190606
    Instrument: PPMS2
    Computer: LLABWORKSTATION
    User: Aaron Greenberg
    Description: Thermal Decay of Nanowires

Wiring:
    Electrode 1: Lockin 1, I+, KH 1: Differential, 1x, 50k Ohms
    Electrode 2: Lockin 2, V1+, KH 2: SE+ (-gnd), 10x, Open
    Electrode 3: Lockin 3, V1-, KH 3: SE+ (-gnd), 10x, Open
    Electrode 4: Lockin 4, I-, KH 4: Differential, 10x, 50k Ohms
    Electrode 5: Lockin 5, , KH 5: Ground, 10x, Open
    Electrode 27: Lockin 7, , KH 7: Ground, 10x, Open
    Electrode 28: Lockin 8, , KH 8: Ground, 10x, Open
    Electrode 1: Vbg
	
Experiment: 
    290k test
    

Lockin: 
    AO 1: amp = 5.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 2: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 3: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 4: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 5: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 6: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 7: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 8: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
	
    Lockin 1: f = 13.00 Hz, phi = 0.00° 
    Lockin 2: f = 26.00 Hz, phi = 0.00° 
	
    TC = 300.00 ms, order = 2

    Fs = 6500.00 S/s, N = 500 S
					
time (s)	Temperature (mK)	Bfield (T)	X1	Y1	R2T	X2	Y2	R4T
3.643026379966706E+9	308.638899999999980E+0	-1.479864772409201E-6	-4.568401165846076E-3	-1.087926251382047E-3	35.974152685842878E-3	-6.355092212655055E-3	9.805882051341117E-3	-1.760923809912624E-3	4.329432398373617E-3	-589.528934974396920E-6	212.470366730408000E-9	279.369806026630590E-9	1.062203244600620E-6	-420.443201705237400E-9	2.294028580864062E-6	4.160002658656340E-6	-434.059873176727200E-9	1.296454657051812E-6	1.370539279990703E-6	-1.023241260635611E-6	6.676154999497749E-6	-2.696637712825582E-6	4.027863336996056E-6	-1.818480009308590E-6	1.094147652867729E-6	-393.079041202403480E-9	251.817822107667600E-9	204.137826422797720E-9	-85.493154655182988E-9	4.918357745282563E-9	411.168458116517180E-9	-249.009746607672620E-9	-99.710183986474819E-9	37.139007525779434E-9	1.154885800244458E+0	6.044272834548026E+0
3.643026382426202E+9	308.587600000000010E+0	-1.479864772409201E-6	-4.570016355665930E-3	-1.080472999838964E-3	35.959677513948282E-3	-6.327893687275808E-3	9.791878449587333E-3	-1.740467718980937E-3	4.323629439580779E-3	-585.978250510616500E-6	99.411837038057052E-9	523.209915288311800E-9	-509.903212558020840E-9	42.863503335438510E-9	-953.259028395151220E-9	8.271818020690135E-6	217.818320745877960E-9	-8.878260407765640E-9	2.094459490759929E-6	-926.879922193370190E-9	5.666750240783420E-6	-1.818940776205535E-6	3.931542214950671E-6	-1.708611085795644E-6	780.304887279825290E-9	-80.309516617922804E-9	264.453106240998670E-9	-153.568611408849840E-9	246.089373161857200E-9	306.903071976207220E-9	511.172688502643330E-9	590.683296366042730E-9	117.154562805790670E-9	172.585618734649280E-9	1.156435830098521E+0	6.052276086569110E+0
3.643026385254248E+9	308.535799999999990E+0	-1.479864772409201E-6	-4.563214973338586E-3	-1.081359650545721E-3	35.984754204876235E-3	-6.328358779729458E-3	9.804032611956844E-3	-1.741083804961774E-3	4.325215856722621E-3	-584.897742764366310E-6	-31.499904787122512E-9	-31.618692579105786E-9	-184.555978682571950E-9	-451.538976944157260E-9	1.561319489359237E-6	8.735952432977970E-6	799.340497127599650E-9	-1.743879122820857E-6	-788.538910983078570E-9	-398.231622005616670E-9	-4.404617547483743E-6	707.838785588388270E-9	-3.419803455287530E-6	-55.938177841912879E-9	-537.568979020740200E-9	-223.278861786602490E-9	-159.029103104543950E-9	146.627863962089130E-9	-254.206627751012750E-9	-92.447328241248091E-9	-620.075581847101070E-9	231.755995427574270E-9	-199.596219931614890E-9	141.790917527758140E-9	1.156011668695927E+0	6.053043931258846E+0
3.643026387641633E+9	308.470199999999980E+0	-1.479864772409201E-6	-4.562413371071133E-3	-1.082635044416105E-3	35.968112693032767E-3	-6.332488701865513E-3	9.788530027385434E-3	-1.741019269894512E-3	4.318136400469904E-3	-583.861724921645150E-6	107.112255647168570E-9	-206.457682876902290E-9	125.279427933115140E-9	-1.073956374023769E-6	319.951596814683560E-9	9.501455026890964E-6	-991.024729105887100E-9	90.407988947057156E-9	1.267866235422836E-6	-2.309742165554994E-6	3.510366696921942E-6	-5.882358064802453E-6	3.736895305429676E-6	-3.910913797330050E-6	733.087007354291120E-9	-963.766392752819850E-9	60.599701848859958E-9	237.053163066059050E-9	-174.082770787284140E-9	485.644893349498250E-9	1.266184405020546E-6	-1.209627231004936E-6	59.469087630353766E-9	307.856047129265920E-9	1.157906915459154E+0	6.062703962477527E+0
3.643026391359701E+9	308.397800000000020E+0	-1.479864772409201E-6	-4.559011827492617E-3	-1.085366508460317E-3	35.966594918437123E-3	-6.354785243875979E-3	9.780606914685812E-3	-1.752428121060800E-3	4.312644461646982E-3	-585.577116233324070E-6	38.090633301212485E-9	288.999724131080480E-9	-243.365994413411440E-9	-326.228234799656680E-9	-809.374531698520730E-9	6.576414530775962E-6	205.811911881102950E-9	416.521163254676980E-9	69.551772530064278E-9	2.700533575748860E-6	1.354497665082355E-6	8.748306140559550E-6	2.095924569583028E-6	7.740198218747418E-6	596.420599266669050E-9	1.477059960636432E-6	30.853680284352438E-9	-240.460539779535980E-9	-497.497845095173070E-9	-537.634462973929720E-9	290.968177293708640E-9	1.075135445461546E-6	232.826980859672220E-9	280.946909934523030E-9	1.159381452486004E+0	6.071909761314056E+0
3.643026394976474E+9	308.309700000000020E+0	-1.479864772409201E-6	-4.547701203860487E-3	-1.086609563738302E-3	36.002390636528547E-3	-6.358959944830150E-3	9.799613145725021E-3	-1.753277340668336E-3	4.313178286977659E-3	-586.761450184096910E-6	105.058426371335190E-9	-215.592644027784770E-9	-494.145593851959570E-9	664.178316295310990E-9	2.565494810175083E-6	6.097716726035039E-6	952.238359514935670E-9	385.927638465997790E-9	-157.422545503888240E-9	-423.145513182812690E-9	1.848040319416653E-6	4.443172407579962E-6	2.754804181187309E-6	4.152856830697034E-6	347.252542152981670E-9	167.932110777371710E-9	83.087341166104723E-9	263.378004357191180E-9	-113.680135818970680E-9	-291.123176433136240E-9	24.606955337524794E-9	341.697158570184530E-9	151.906186374297930E-9	-689.228974156814360E-9	1.159237960344925E+0	6.075050866762200E+0
3.643026398024959E+9	308.221200000000010E+0	-1.479864772409201E-6	-4.552436992955041E-3	-1.089704111844120E-3	35.975796396807473E-3	-6.371148870654981E-3	9.777805399639700E-3	-1.759720259834488E-3	4.307407389595020E-3	-587.294420143232300E-6	191.263948429069580E-9	-100.556481402984700E-9	-549.447816639016910E-9	-245.848588250160020E-9	-683.471102503477750E-9	4.844538399805675E-6	939.906948223394560E-9	-606.466371712970310E-9	-3.291759465430888E-6	-2.808837965908894E-6	-15.094999741950905E-6	-9.511935755484507E-6	-10.023474608788006E-6	-6.717458166923794E-6	-1.994261414052412E-6	-1.305696128899382E-6	276.512273099486420E-9	32.170496979917020E-9	1.129132139893421E-6	498.159956771958150E-9	-1.695926614348260E-6	-1.422725393954700E-6	481.911697021885920E-9	-157.410487696006360E-9	1.160791062409840E+0	6.082078760521162E+0
3.643026401224997E+9	308.124300000000000E+0	-1.479864772409201E-6	-4.549156380787070E-3	-1.084132637257740E-3	35.984251657210128E-3	-6.349288230088059E-3	9.778885393472068E-3	-1.743789381105321E-3	4.304619817009434E-3	-584.090451749029350E-6	-416.454606790376910E-9	-268.510031538005280E-9	-758.166668877011460E-9	919.840968638643710E-9	21.016190559669035E-9	8.060716569607308E-6	808.898247157213330E-9	-841.024888388924010E-9	1.632929310607132E-6	-1.318992596067758E-6	4.756334384811175E-6	-5.505824537990996E-6	4.077539897400102E-6	-2.020972758212802E-6	7.671199661466147E-9	-526.794251969851540E-9	-25.192170143499587E-9	134.542357065975960E-9	1.049955818314843E-6	154.219473003139270E-9	1.088649805044165E-6	-965.119004970227740E-9	500.460847571327930E-9	374.829963684406860E-9	1.161542763949284E+0	6.087730712057127E+0
3.643026404023382E+9	308.040799999999990E+0	-1.479864772409201E-6	-4.540968292647587E-3	-1.083182505660528E-3	36.003608055033165E-3	-6.351336006981254E-3	9.791703152900740E-3	-1.743113721774429E-3	4.305594892314284E-3	-583.404347176200810E-6	-268.051126852105650E-9	222.546675152048160E-9	-565.382676097011500E-9	-792.183647030369930E-9	2.562542639725168E-6	8.795228032247186E-6	-1.092947844636663E-6	-1.619560139156275E-6	-3.268965039385342E-6	133.202254154203330E-9	-13.918141879552104E-6	4.746704062311914E-6	-9.252827220880088E-6	1.768978822972434E-6	-2.298191767406802E-6	438.536026122453430E-9	89.749610296304917E-9	-93.699340275555898E-9	-1.324658268317975E-6	-303.149930819772430E-9	-2.254916072548617E-6	394.261912342236550E-9	1.032416595816866E-6	-124.572604018118040E-9	1.161279712804673E+0	6.087870679362350E+0
3.643026406409120E+9	307.920599999999980E+0	-1.479864772409201E-6	-4.538801068062436E-3	-1.088945649916683E-3	36.010561131277145E-3	-6.373094166851581E-3	9.788408601556324E-3	-1.756406166989109E-3	4.302429168300657E-3	-586.055463607618160E-6	-191.331171994750480E-9	-192.682935676824120E-9	64.069908081237846E-9	402.272050787625110E-9	2.829957328630687E-6	5.792972381714165E-6	-827.715454898849950E-9	176.599221147124180E-9	1.149193054738760E-6	1.839083420644121E-6	4.133055564509891E-6	7.423094974623113E-6	2.342240813118286E-6	6.947618764402477E-6	234.539459619469320E-9	1.053362666784868E-6	61.194550542633547E-9	106.379753106271430E-9	-193.725316576977200E-9	-293.173329735545600E-9	-75.882801421226028E-9	686.185767018432000E-9	-815.584459603120840E-9	724.051741899381320E-9	1.162134181508179E+0	6.094731953501947E+0
