Device:
    Device: SA40060G.20190611
    Instrument: PPMS2
    Computer: LLABWORKSTATION
    User: Aaron Greenberg
    Description: Thermal Decay of Nanowires Temp Sweep

Wiring:
    Electrode 1: Lockin 1, I+, KH 1: Differential, 1x, 50k Ohms
    Electrode 2: Lockin 2, V1+, KH 2: SE+ (-gnd), 10x, Open
    Electrode 3: Lockin 3, V1-, KH 3: SE+ (-gnd), 10x, Open
    Electrode 4: Lockin 4, I-, KH 4: Differential, 10x, 50k Ohms
    Electrode 5: Lockin 5, , KH 5: Ground, 10x, Open
    Electrode 27: Lockin 7, , KH 7: Ground, 10x, Open
    Electrode 28: Lockin 8, , KH 8: Ground, 10x, Open
    Electrode 1: Vbg
	
Experiment: 
    300K to 10K

Lockin: 
    AO 1: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 2: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 3: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 4: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 5: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 6: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 7: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 8: amp = 5.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
	
    Lockin 1: f = 13.00 Hz, phi = 0.00° 
    Lockin 2: f = 26.00 Hz, phi = 0.00° 
	
    TC = 300.00 ms, order = 2

    Fs = 6500.00 S/s, N = 500 S
					
time (s)	Temperature (mK)	Bfield (T)	X1	Y1	R2T	X2	Y2	R4T
3.643206360137695E+9	285.955899999999990E+0	-1.479864772409201E-6	14.666819004115254E-3	-18.090319044152960E-3	330.935127537491240E-9	-4.134998886656130E-6	846.004850431669340E-6	-1.779850627190522E-3	78.545872693378297E-6	-67.486680844926984E-6	5.106582825303789E-6	-14.184070449833499E-6	528.999757919732310E-9	-74.986795774570092E-9	-51.813376728819775E-9	95.907754587728483E-9	-811.577303305291110E-6	-1.004164514739595E-3	-4.091670303900357E-6	9.464395112973241E-6	413.284566201194310E-9	-344.546039960403100E-9	4.982355925435240E-6	12.039920168793440E-6	-325.449108271552870E-9	-28.542727853359197E-9	-371.022279987554450E-9	57.717699970448765E-9	200.310719813511820E-9	980.355781404220180E-9	-542.980818742879560E-9	138.883822583083690E-9	-699.405664856788470E-9	-364.090890087892130E-9	63.657068519928970E+0	175.958502716448010E+0
3.643206362449037E+9	285.702200000000000E+0	-1.479864772409201E-6	14.614205890012215E-3	-18.092104717255499E-3	243.074320695701160E-9	-4.327411795738104E-6	816.123248610883490E-6	-1.787334066232225E-3	77.862697256447642E-6	-67.992890390740029E-6	5.937375519380740E-6	-13.395862652134674E-6	923.960313064568150E-9	-832.119893579232790E-9	204.863708502397660E-9	38.394304165399909E-9	-809.882508233129240E-6	-1.003407081135840E-3	22.306797381568969E-6	5.274474825552479E-6	379.053894592607640E-9	-874.732442470926200E-9	26.278035004037126E-6	10.517722785801076E-6	454.434811420640170E-9	-147.443075333974040E-9	170.162299996336840E-9	49.674476835441068E-9	-810.799654572691410E-9	-204.749948279045370E-9	-361.897412300778080E-9	-182.551076569114860E-9	-126.864359409416790E-9	729.875231338922480E-9	64.215602286831398E+0	177.210437444211980E+0
3.643206364845777E+9	285.476099999999970E+0	-1.479864772409201E-6	14.544139819885459E-3	-17.959545644333733E-3	380.693178412385390E-9	-5.021380006755837E-6	778.424903057252460E-6	-1.697626398785776E-3	77.259263063804871E-6	-66.566757542886669E-6	5.050631408866061E-6	-13.737766727217475E-6	-384.220403699414020E-9	59.351164199750167E-9	50.559076231941947E-9	-53.840700971958093E-9	-814.728434104446100E-6	-999.751315605838880E-6	11.427450843044147E-6	12.355845869752511E-6	54.618529231833731E-9	279.998080001080700E-9	15.521723932504637E-6	11.867576442746252E-6	2.909844671177233E-9	341.251823395005040E-9	-37.015210133775009E-9	-121.932941371637410E-9	-117.367960517703010E-9	-42.834222216734247E-9	140.159364505406770E-9	-125.704836526301370E-9	139.516350802442980E-9	1.748300124820376E-6	64.717158845674334E+0	178.175591779327960E+0
3.643206366910158E+9	285.261900000000030E+0	-1.479864772409201E-6	14.520426914421309E-3	-18.041151230724927E-3	-598.733232230683220E-9	-4.210693302501647E-6	818.487869240800230E-6	-1.795962484233484E-3	78.254101138779521E-6	-68.806406568182907E-6	5.265981339701635E-6	-14.243771612668212E-6	-425.153513151082090E-9	731.582696265914800E-9	-455.462445546409150E-9	-26.511142888799742E-9	-811.601646586320520E-6	-1.001923865101105E-3	35.164146565838084E-6	7.225141912905157E-6	341.353420563557000E-9	-415.713014287141350E-9	43.167529125847882E-6	12.058176521112511E-6	1.193204822152340E-6	31.576333591700677E-9	370.050928049575080E-9	-444.089883485757780E-9	-352.061230132819590E-9	-513.470811352995930E-9	241.609567354183410E-9	235.149504286167340E-9	981.877711209299520E-9	1.880926113011874E-6	63.894414826039132E+0	175.095475454773180E+0
3.643206368988460E+9	285.032899999999980E+0	-1.479864772409201E-6	14.542860760778535E-3	-18.035459041593344E-3	471.921503896139050E-9	-4.307756457240042E-6	840.794343684844650E-6	-1.767661122220465E-3	78.742969904894991E-6	-67.573063167319857E-6	5.216259566723904E-6	-12.843815216595557E-6	941.785703536620510E-9	-330.144811793921440E-9	16.199388509918261E-9	-223.323810078681310E-9	-808.156968635612890E-6	-1.001299667673722E-3	2.592446304190526E-6	16.499797754753477E-6	588.420753029652880E-9	181.002157831814500E-9	10.431379109622502E-6	16.041202179733687E-6	163.924781695945440E-9	793.351918264738740E-9	983.767302758439210E-9	-301.836862276361390E-9	-675.650197678825780E-9	-435.589692071560250E-9	-114.689649296300170E-9	-535.017313182779520E-9	-523.805989137935380E-9	146.052913093573470E-9	63.497732001205342E+0	174.010028243066220E+0
3.643206371054998E+9	284.819000000000020E+0	-1.479864772409201E-6	14.486389467148331E-3	-17.925668345641070E-3	1.721696525119813E-9	-4.072174467866981E-6	787.848798058522980E-6	-1.690058037461600E-3	76.594147893560726E-6	-66.255048600994182E-6	5.580659501080771E-6	-13.752771275151144E-6	-262.033944277834730E-9	263.810609810275330E-9	-209.421071467846820E-9	60.545898566431914E-9	-810.539458087300830E-6	-997.065839831967750E-6	19.042420288605271E-6	10.330095145013880E-6	457.635665975260510E-9	-266.063540617958890E-9	24.460478662023205E-6	14.249843582432451E-6	498.384803248475740E-9	1.060444053965677E-6	1.433324705628272E-9	248.996787515651490E-9	425.994496687251850E-9	1.122458108591581E-6	-437.825635892249250E-9	202.446281028284520E-9	-451.931429757225960E-9	265.124397543237170E-9	65.279138648402537E+0	178.845787123658910E+0
3.643206373088759E+9	284.589800000000020E+0	-1.479864772409201E-6	14.403292032139019E-3	-17.978754645829504E-3	935.393202079603190E-9	-3.923101897847207E-6	758.080655561414460E-6	-1.738221956177166E-3	76.702405688608194E-6	-66.726024569474030E-6	5.281640875085519E-6	-13.602718515908493E-6	-1.254519609462712E-6	-998.623255772640200E-9	65.769640237803392E-9	-327.514217930378820E-9	-811.181034489482140E-6	-1.000029719725593E-3	-30.902147157720623E-6	-9.909922457860524E-6	461.220889568691030E-9	732.726358060261520E-9	-19.344502029407815E-6	-9.989705832007573E-6	-520.871842129757810E-9	-591.821104074799360E-9	-669.194522108011650E-9	247.997867256577760E-9	307.942355901512420E-9	199.685064020102530E-9	-135.129597225522220E-9	120.900416383824280E-9	-397.914641690598870E-9	-2.222619732743863E-6	65.187003655383364E+0	177.898088776688610E+0
3.643206375180038E+9	284.370799999999970E+0	-1.479864772409201E-6	14.472193762722036E-3	-17.944983789445614E-3	735.737871915273790E-9	-3.849403612352335E-6	861.763142159099360E-6	-1.724473899201568E-3	79.400028956242642E-6	-67.303571724105940E-6	4.860588296846983E-6	-13.678640289782347E-6	141.965108325055440E-9	-808.501066234935410E-9	224.644512263550580E-9	-348.869435594604990E-9	-806.585336130256190E-6	-995.183252223033650E-6	-48.515096636269976E-6	-10.593661564468985E-6	432.003863161573430E-9	791.654505221965730E-9	-35.097662580680148E-6	-11.504068623053302E-6	-873.567485170344990E-9	-402.280444796583930E-9	312.000107412758210E-9	-1.030021024553308E-6	-100.833038833588040E-9	55.422822618218255E-9	-638.301507827319270E-9	-115.813589837973990E-9	-1.432099997184420E-6	-2.289594459102490E-6	62.972269226192601E+0	171.415940264500990E+0
3.643206377143170E+9	284.150100000000010E+0	-1.479864772409201E-6	14.297410965426648E-3	-17.867747362442215E-3	873.154806911293970E-9	-4.632199253154018E-6	742.648696664157290E-6	-1.690062604726461E-3	76.886556675030761E-6	-65.333072636348643E-6	5.373946267567181E-6	-12.275693047804162E-6	-111.162618174899700E-9	373.420326647167510E-9	74.924128379007861E-9	306.579152870530680E-9	-811.375616616211460E-6	-997.367699160140460E-6	-23.690670677555479E-6	22.747461819752928E-6	1.158354949805790E-6	-200.685494654405260E-9	-18.704925914273675E-6	28.501987164150727E-6	-1.137546068289043E-6	1.806419266118538E-6	167.868250843822470E-9	-311.838394159661540E-9	-769.158848154516690E-9	-499.947000979470250E-9	329.585569376872750E-9	-174.574748589114750E-9	-1.985496080945516E-6	-32.223815992743639E-9	65.030874267565835E+0	176.295608165327790E+0
3.643206379211878E+9	283.901099999999990E+0	-1.479864772409201E-6	14.339908252804800E-3	-17.966923708691584E-3	470.018923040821040E-9	-4.509328521582217E-6	813.749624732364480E-6	-1.780380672623357E-3	77.663963828003836E-6	-68.658227726542734E-6	6.029905360029976E-6	-13.026268419664249E-6	-78.866148756493708E-9	-481.345158977935710E-9	-200.230604720149300E-9	367.487501546887150E-9	-806.853236897963110E-6	-998.708558172354100E-6	42.047702186007215E-6	184.791194366182500E-9	609.459585855827570E-9	-1.407038560968555E-6	42.591511242475077E-6	5.681704513698672E-6	1.187805978116569E-6	-342.450622035310930E-9	-64.405610976779471E-9	466.450016819563460E-9	-494.185487468830240E-9	305.083288879680710E-9	276.981166814232690E-9	-350.975345223677620E-9	477.375565374222290E-9	833.225728971823530E-9	64.379922856797521E+0	174.162609804821930E+0
