Device:
    Device: SA40060G.20190611
    Instrument: PPMS2
    Computer: LLABWORKSTATION
    User: Aaron Greenberg
    Description: Thermal Decay of Nanowires Temp Sweep

Wiring:
    Electrode 1: Lockin 1, I+, KH 1: Differential, 1x, 50k Ohms
    Electrode 2: Lockin 2, V1+, KH 2: SE+ (-gnd), 10x, Open
    Electrode 3: Lockin 3, V1-, KH 3: SE+ (-gnd), 10x, Open
    Electrode 4: Lockin 4, I-, KH 4: Differential, 10x, 50k Ohms
    Electrode 5: Lockin 5, , KH 5: Ground, 10x, Open
    Electrode 27: Lockin 7, , KH 7: Ground, 10x, Open
    Electrode 28: Lockin 8, , KH 8: Ground, 10x, Open
    Electrode 1: Vbg
	
Experiment: 
    300K to 10K

Lockin: 
    AO 1: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 2: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 3: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 4: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 5: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 6: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 7: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 8: amp = 5.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
	
    Lockin 1: f = 13.00 Hz, phi = 0.00° 
    Lockin 2: f = 26.00 Hz, phi = 0.00° 
	
    TC = 300.00 ms, order = 2

    Fs = 6500.00 S/s, N = 500 S
					
time (s)	Temperature (mK)	Bfield (T)	X1	Y1	R2T	X2	Y2	R4T
3.643207398660974E+9	156.506900000000000E+0	-1.479864772409201E-6	2.178596972200544E-3	-985.457121894474460E-6	-430.464404727373280E-9	-1.379466384794891E-6	195.093710081240600E-6	-498.886757197244610E-6	132.606030622920710E-6	-9.525037793695253E-6	-24.801738642591578E-9	-458.929237577582640E-9	116.448713631148920E-9	3.689308885853466E-9	206.553066525963240E-9	-329.642149395699960E-9	-226.226424250948820E-6	-799.290961887231030E-6	32.532442229543430E-6	3.927447018180834E-6	109.902870436105080E-9	-251.351915588903570E-9	30.103558728602667E-6	2.353232909322148E-6	628.315385658855890E-9	-484.557421327385650E-9	629.621585281669510E-9	-499.575385752291270E-9	-198.525191584874940E-9	-1.020141677978708E-6	126.942211686699160E-9	-166.560322633978100E-9	1.118261588081445E-6	2.705514438753696E-6	37.705675801563125E+0	14.957866190562667E+0
3.643207400589111E+9	156.284300000000000E+0	-1.479864772409201E-6	2.234684696168719E-3	-911.972858176672240E-6	1.403077468356915E-6	-2.139947203305883E-6	252.030214464337980E-6	-431.304660409369310E-6	132.015607819171220E-6	-9.492071955770538E-6	-281.016615654534770E-9	-401.139383318777980E-9	-313.137772806901240E-9	-559.158241280951310E-9	-156.664074267422340E-9	3.064449631020331E-9	-227.823028367927460E-6	-798.614693748051090E-6	12.558765726619575E-6	11.516944118877303E-6	-788.839844406605760E-9	223.553587344400480E-9	9.697159063936870E-6	11.711317824569141E-6	12.398850815892745E-9	-1.158514261666091E-6	-330.422432234853280E-9	-85.165894699152531E-9	403.833813875735030E-9	-981.573287845942430E-9	336.305806717826650E-9	31.312798049380875E-9	-622.830284057069320E-9	1.904057484865884E-6	37.874309580491158E+0	15.018333926243995E+0
3.643207402652934E+9	156.076200000000000E+0	-1.479864772409201E-6	2.175503116127961E-3	-854.811949370785900E-6	164.265221000246150E-9	-1.069240227894953E-6	197.917750690504480E-6	-387.397673777187900E-6	131.315091817798110E-6	-9.428207863626687E-6	362.933928371304400E-9	-195.074229874845750E-9	205.044587445606330E-9	328.200360272536210E-9	-171.433607614085470E-9	-380.440087630877740E-9	-228.842471964310210E-6	-798.309156127967950E-6	-5.198372086603051E-6	13.489846163467999E-6	-326.095566034515740E-9	-171.728710623316300E-9	-5.767383642742773E-6	13.031209108391939E-6	-1.120066486878977E-6	-734.928517215398940E-9	642.300619307577780E-9	-266.446434998638760E-9	784.829928776716210E-9	-190.537603992371730E-9	140.552636510263950E-9	-57.610379099038516E-9	-719.862943519467540E-9	66.699734122174070E-9	38.076354597060202E+0	15.059848324070691E+0
3.643207404598191E+9	155.901000000000010E+0	-1.479864772409201E-6	2.123527630009079E-3	-938.389678555136860E-6	318.228050922958420E-9	-153.150332987183160E-9	140.513008282422130E-6	-475.161559585355900E-6	131.100467176237440E-6	-10.910319422945544E-6	-105.218172975442640E-9	645.852066915058490E-9	-389.443447588103380E-9	568.246447531337040E-9	-269.383521220508730E-9	-360.303353752053820E-9	-224.105567224028510E-6	-800.996337141332210E-6	26.551474508048424E-6	-34.089105381465502E-6	325.607027038666340E-9	-1.097674319322558E-6	21.973053806550393E-6	-34.863756523176123E-6	319.921347751660620E-9	-1.686086442339766E-6	232.000406951561660E-9	487.810402258761950E-9	-268.547413433410920E-9	1.117202863265231E-6	-264.829655735302040E-9	-344.407211121684270E-9	1.801993757284797E-6	2.208721789912487E-6	38.138689416556659E+0	15.125915753304708E+0
3.643207406518070E+9	155.679800000000000E+0	-1.479864772409201E-6	2.288782685589254E-3	-924.255645034170850E-6	208.650312499935340E-9	336.671398113166350E-9	311.340990565039840E-6	-469.809376890400410E-6	131.161516728608630E-6	-9.973244559897664E-6	245.048871816152270E-9	-505.665128458838290E-9	-489.255642110141860E-9	-264.753320194636170E-9	-43.200646286765119E-9	-262.641136830420000E-9	-224.122315284282020E-6	-798.421197442943940E-6	-14.786272413058440E-6	-16.491463527822684E-6	-732.600901890830130E-9	-391.508452258062870E-9	-18.476501953382316E-6	-15.885648310108242E-6	346.298337583463530E-9	-2.633780111799746E-6	124.584067494346250E-9	-187.227785607928920E-9	-272.699699414860880E-9	462.024732897086100E-9	107.168528071660130E-9	-224.198277098077740E-9	1.182224787332370E-6	227.702488989753430E-9	38.120937640159298E+0	15.076386308613793E+0
3.643207408632621E+9	155.457100000000000E+0	-1.479864772409201E-6	2.178607629469537E-3	-926.855491399103460E-6	-471.419965286093850E-9	-244.081215479934600E-9	198.318342528763550E-6	-471.025286291207830E-6	129.711868710036330E-6	-9.227910886539718E-6	37.242624775920346E-9	-900.031410969316840E-9	329.490229212170320E-9	253.495082824171300E-9	210.158676848623130E-9	96.502785732379680E-9	-222.889499814555940E-6	-800.515066368042260E-6	17.637017754977844E-6	-4.710221637368119E-6	253.415691667522670E-9	-147.489476711672570E-9	14.475330786247914E-6	-4.997566007560341E-6	-432.939478934121930E-9	-943.499221356548860E-9	-395.676122818364080E-9	401.391536651195260E-9	-249.606288505738810E-9	315.464496914165020E-9	-148.306084606410360E-9	204.344199265531650E-9	424.632869233221620E-9	1.403362097327369E-6	38.546973763651671E+0	15.266831837629296E+0
3.643207410596518E+9	155.249400000000010E+0	-1.479864772409201E-6	2.172689260840199E-3	-930.898632553518020E-6	-414.765590287689970E-9	-463.116662385499040E-9	198.449533575090910E-6	-480.888058063569910E-6	130.314616024380270E-6	-8.946490873193019E-6	1.087810442265515E-6	-874.523617981323320E-9	-502.335392526784930E-9	-1.156245004909253E-6	212.675693474427700E-9	631.451973485487700E-9	-221.742768479240320E-6	-799.181116632436390E-6	10.942980146127832E-6	-5.812463020539138E-6	693.568558627919600E-9	243.010561894227740E-9	9.967041999929486E-6	-3.977881757624110E-6	81.459690194626998E-9	-1.151443452432344E-6	426.833148148703570E-9	353.819111603873540E-9	-163.557262396125530E-9	237.016057131613760E-9	-488.613285623313430E-9	435.658316851846530E-9	401.379452779645690E-9	2.116542197312962E-6	38.368681522758436E+0	15.149795069002481E+0
3.643207412698698E+9	155.027600000000010E+0	-1.479864772409201E-6	2.252826796319775E-3	-815.145837761717830E-6	223.023592787026460E-9	56.550728085980932E-9	271.928600652264850E-6	-376.925995868778030E-6	129.014257375884900E-6	-9.376672743399330E-6	-300.695456773001860E-9	-104.403960255717830E-9	-387.123896501160050E-9	278.034393932078350E-9	-263.439325562777340E-9	-253.997023852177640E-9	-223.974711366860890E-6	-798.699847555229280E-6	16.147760219064440E-6	-5.070023650693247E-6	-60.607106022095564E-9	96.504567876022829E-9	14.374865245953205E-6	-5.165322542045457E-6	579.008621120614760E-9	-1.445208294639696E-6	-152.153400556599590E-9	994.273060397987590E-9	-553.107314908443790E-9	207.897216615066930E-9	-94.548099735884525E-9	-109.257340617030300E-9	1.034953387482162E-6	980.061444620346870E-9	38.755406586052175E+0	15.354102995734301E+0
3.643207414809847E+9	154.819500000000000E+0	-1.479864772409201E-6	2.242958518943642E-3	-801.857172821249610E-6	411.457318242974540E-9	-908.462292523878210E-9	262.224640871263210E-6	-371.908190487569140E-6	128.771047795502520E-6	-9.210400043839999E-6	216.325429577610100E-9	-142.721933772645160E-9	645.529636031302140E-9	-1.212853143253045E-6	-608.035192800927050E-9	-223.358846862354930E-9	-222.140878524225980E-6	-799.257742506219100E-6	12.649993997976836E-6	-2.923009366021916E-6	663.453899215656210E-9	-396.796631064808730E-9	10.448175729112464E-6	-2.804135891874661E-6	259.873533001842630E-9	-1.210817309194377E-6	-421.771755585700690E-9	-459.469021390443250E-9	-6.871765571344407E-9	-674.460157297973440E-9	77.853934587102718E-9	55.782318547706550E-9	804.148773305350360E-9	1.805821239165477E-6	38.828603832907781E+0	15.381826210018289E+0
3.643207416731117E+9	154.590800000000000E+0	-1.479864772409201E-6	2.154008339124171E-3	-879.982037502053290E-6	-855.293206343138780E-9	-468.218667225760730E-9	177.436784902351370E-6	-452.092160467793480E-6	128.780263810284410E-6	-8.666143622850754E-6	428.560255575415310E-9	1.140016206687620E-6	-154.239559070102540E-9	259.212631644873730E-9	214.653142853553770E-9	66.145463213317161E-9	-220.398428460334850E-6	-801.144644093304030E-6	12.643618216977559E-6	-28.518115900591222E-6	-224.476664390823890E-9	-2.604382667292426E-9	7.823373051640348E-6	-28.276173530348973E-6	-86.048888848403892E-9	-1.009505948655266E-6	-82.514617037333528E-9	481.892633616570480E-9	-45.274215029917281E-9	219.311911868405990E-9	82.087260712644317E-9	-304.743011398747300E-9	208.266411154655330E-9	800.507834882539550E-9	38.825825107532509E+0	15.348404295348013E+0
